State,Race,Sex,Age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,All races/ethnicities,Both sexes,Adults and adolescents,0.000127,0.000111,0.00011,0.000125,0.000122,0.000115,0.000126,0.00011,0.000103,0.000068,0.000073
Alaska,All races/ethnicities,Both sexes,Adults and adolescents,0.000073,0.00005,0.000049,0.00004,0.000066,0.000048,0.000055,0.000053,0.000034,0.000028,0.000065
Arizona,All races/ethnicities,Both sexes,Adults and adolescents,0.000103,0.000102,0.000112,0.000109,0.000102,0.000095,0.000093,0.000093,0.000103,0.000102,0.000104
Arkansas,All races/ethnicities,Both sexes,Adults and adolescents,0.000075,0.000087,0.000094,0.000085,0.00008,0.000094,0.000084,0.000077,0.000052,0.000072,0.000066
California,All races/ethnicities,Both sexes,Adults and adolescents,0.000169,0.000163,0.000171,0.000163,0.000144,0.000137,0.000137,0.000129,0.00013,0.000137,0.00014
Colorado,All races/ethnicities,Both sexes,Adults and adolescents,0.000094,0.000076,0.000083,0.00008,0.000078,0.000088,0.000085,0.00008,0.000082,0.000072,0.000079
Connecticut,All races/ethnicities,Both sexes,Adults and adolescents,0.00021,0.000195,0.000213,0.000196,0.000172,0.000157,0.000141,0.000125,0.000099,0.000097,0.000134
Delaware,All races/ethnicities,Both sexes,Adults and adolescents,0.000332,0.000333,0.00025,0.00028,0.000219,0.000243,0.000211,0.000207,0.000189,0.000184,0.000181
District of Columbia,All races/ethnicities,Both sexes,Adults and adolescents,0.00153,0.001468,0.00213,0.001846,0.001677,0.001443,0.001489,0.001415,0.001166,0.001211,0.001306
Florida,All races/ethnicities,Both sexes,Adults and adolescents,0.000351,0.000335,0.000311,0.000323,0.000357,0.000305,0.000286,0.000272,0.000281,0.000268,0.000234
Georgia,All races/ethnicities,Both sexes,Adults and adolescents,0.000227,0.000225,0.00024,0.000269,0.000288,0.000208,0.000198,0.000184,0.000179,0.000137,0.00012
Hawaii,All races/ethnicities,Both sexes,Adults and adolescents,0.000122,0.000115,0.000106,0.000092,0.000073,0.000076,0.00007,0.000081,0.000061,0.000054,0.000057
Idaho,All races/ethnicities,Both sexes,Adults and adolescents,0.000016,0.000019,0.000029,0.000019,0.000018,0.000024,0.000019,0.000013,0.000029,0.000022,0.000039
Illinois,All races/ethnicities,Both sexes,Adults and adolescents,0.000146,0.000144,0.000155,0.00014,0.000134,0.000142,0.000123,0.000108,0.000119,0.000118,0.000128
Indiana,All races/ethnicities,Both sexes,Adults and adolescents,0.000071,0.000071,0.000079,0.000079,0.000072,0.000071,0.000064,0.000066,0.00007,0.000072,0.000068
Iowa,All races/ethnicities,Both sexes,Adults and adolescents,0.000033,0.000034,0.000031,0.00003,0.000029,0.000033,0.000032,0.000029,0.000028,0.00004,0.000035
Kansas,All races/ethnicities,Both sexes,Adults and adolescents,0.00004,0.000045,0.00004,0.000059,0.000046,0.000061,0.000043,0.00006,0.000047,0.000047,0.000044
Kentucky,All races/ethnicities,Both sexes,Adults and adolescents,0.000068,0.000069,0.000072,0.000058,0.000065,0.000053,0.000065,0.000072,0.000075,0.000055,0.000062
Louisiana,All races/ethnicities,Both sexes,Adults and adolescents,0.000232,0.000247,0.000272,0.000249,0.000243,0.000226,0.000224,0.00023,0.000242,0.000227,0.000244
Maine,All races/ethnicities,Both sexes,Adults and adolescents,0.000033,0.000031,0.00004,0.000039,0.000038,0.000038,0.000043,0.000045,0.00004,0.000036,0.000031
Maryland,All races/ethnicities,Both sexes,Adults and adolescents,0.000342,0.000368,0.000357,0.000366,0.000358,0.000342,0.000293,0.000266,0.00026,0.000212,0.000265
Massachusetts,All races/ethnicities,Both sexes,Adults and adolescents,0.000147,0.000134,0.00013,0.000114,0.000129,0.000129,0.000125,0.000108,0.000092,0.000112,0.00015
Michigan,All races/ethnicities,Both sexes,Adults and adolescents,0.000082,0.000072,0.000071,0.000074,0.000069,0.00009,0.000074,0.000072,0.000068,0.00006,0.000066
Minnesota,All races/ethnicities,Both sexes,Adults and adolescents,0.000044,0.000036,0.000043,0.000048,0.000063,0.000054,0.000048,0.000047,0.000052,0.000048,0.000047
Mississippi,All races/ethnicities,Both sexes,Adults and adolescents,0.000171,0.000171,0.000183,0.000179,0.000197,0.000147,0.000143,0.000134,0.000142,0.000148,0.000173
Missouri,All races/ethnicities,Both sexes,Adults and adolescents,0.000083,0.000084,0.000087,0.000083,0.000087,0.000085,0.000083,0.000085,0.000084,0.000088,0.000082
Montana,All races/ethnicities,Both sexes,Adults and adolescents,0.000021,0.000016,0.000019,0.000011,0.000024,0.000025,0.000021,0.000014,0.000029,0.000029,0.000025
Nebraska,All races/ethnicities,Both sexes,Adults and adolescents,0.000052,0.000053,0.000047,0.000045,0.000057,0.000055,0.000049,0.000047,0.000052,0.000046,0.000067
Nevada,All races/ethnicities,Both sexes,Adults and adolescents,0.000169,0.000133,0.000162,0.000139,0.000151,0.000156,0.00013,0.000138,0.000139,0.000119,0.000126
New Hampshire,All races/ethnicities,Both sexes,Adults and adolescents,0.000031,0.000032,0.000039,0.00004,0.000041,0.000033,0.000033,0.000032,0.000023,0.000039,0.000029
New Jersey,All races/ethnicities,Both sexes,Adults and adolescents,0.000271,0.000246,0.000226,0.000196,0.000202,0.000191,0.000171,0.000183,0.000166,0.000181,0.000186
New Mexico,All races/ethnicities,Both sexes,Adults and adolescents,0.000074,0.000068,0.000064,0.000078,0.00007,0.000067,0.000058,0.000074,0.00006,0.000064,0.000065
